"Package" "Built"
"67" "dtplyr" "3.4.4"
"68" "dummy" "3.5.2"
"69" "dygraphs" "3.4.4"
"70" "e1071" "3.5.3"
"71" "ellipsis" "3.6.2"
"72" "emdbook" "3.4.4"
"73" "emmeans" "3.4.4"
"74" "EpiContactTrace" "3.5.0"
"75" "EpiDynamics" "3.5.1"
"76" "EpiModel" "3.5.1"
"77" "ergm" "3.5.1"
"78" "ergm.count" "3.4.4"
"79" "estimability" "3.4.3"
"80" "evaluate" "3.6.2"
"81" "expint" "3.4.1"
"82" "fansi" "3.6.2"
"83" "farver" "3.6.2"
"84" "fasttime" "3.4.1"
"85" "fit.models" "3.4.4"
"86" "fitdistrplus" "3.4.4"
"87" "flexmix" "3.4.4"
"88" "FNN" "3.4.4"
"89" "forcats" "3.6.2"
"90" "foreach" "3.4.4"
"91" "Formula" "3.4.4"
"92" "fs" "3.6.2"
"93" "gam" "3.4.4"
"94" "gamlss" "3.4.4"
"95" "gamlss.data" "3.4.4"
"96" "gamlss.dist" "3.4.4"
"97" "gamm4" "3.4.4"
"98" "gbm" "3.4.4"
"99" "gdata" "3.4.4"
"100" "geepack" "3.4.1"
"101" "generics" "3.6.2"
"102" "geosphere" "3.5.3"
"103" "GERGM" "3.4.4"
"104" "GGally" "3.5.3"
"105" "ggmap" "3.5.3"
"106" "ggplot2" "3.6.2"
"107" "ggridges" "3.4.4"
"108" "gh" "3.5.3"
"109" "git2r" "3.5.3"
"110" "glmnet" "3.4.4"
"111" "glue" "3.6.2"
"112" "gmm" "3.4.4"
"113" "gmodels" "3.5.3"
"114" "gmp" "3.4.4"
"115" "goftest" "3.4.1"
"116" "gower" "3.5.3"
"117" "gplots" "3.4.4"
"118" "gridExtra" "3.4.4"
"119" "gsubfn" "3.4.4"
"120" "gtable" "3.6.2"
"121" "gtools" "3.5.2"
"122" "haven" "3.6.2"
"123" "here" "3.4.4"
"124" "highr" "3.6.2"
"125" "Hmisc" "3.5.2"
"126" "hms" "3.6.1"
"127" "HSAUR2" "3.4.4"
"128" "htmlTable" "3.4.4"
"129" "htmltools" "3.6.2"
"130" "htmlwidgets" "3.4.4"
"131" "httpuv" "3.5.3"
"132" "httr" "3.6.2"
"133" "igraph" "3.5.3"
"134" "ini" "3.5.3"
"135" "inline" "3.4.4"
"136" "intergraph" "3.5.3"
"137" "ipred" "3.5.3"
"138" "ismev" "3.4.4"
"139" "iterators" "3.4.4"
"140" "janitor" "3.5.3"
"141" "jpeg" "3.5.2"
"142" "jsonlite" "3.6.2"
"143" "kableExtra" "3.5.3"
"144" "kernlab" "3.4.4"
"145" "keyplayer" "3.5.3"
"146" "knitr" "3.6.2"
"147" "ks" "3.4.4"
"148" "labeling" "3.6.0"
"149" "Lahman" "3.4.4"
"150" "later" "3.5.3"
"151" "latticeExtra" "3.4.4"
"152" "lava" "3.5.3"
"153" "lazyeval" "3.6.2"
"154" "lfe" "3.4.4"
"155" "lifecycle" "3.6.2"
"156" "lme4" "3.5.2"
"157" "lmodel2" "3.4.3"
"158" "lmtest" "3.4.4"
"159" "loo" "3.4.4"
"160" "lpSolve" "3.5.0"
"161" "lsmeans" "3.4.4"
"162" "lubridate" "3.5.3"
"163" "magrittr" "3.4.4"
"164" "mapdata" "3.5.3"
"165" "maps" "3.5.3"
"166" "maptools" "3.5.3"
"167" "markdown" "3.6.2"
"168" "matpow" "3.5.3"
"169" "matrixcalc" "3.4.1"
"170" "MatrixModels" "3.4.4"
"171" "matrixStats" "3.4.4"
"172" "maxLik" "3.4.4"
"173" "mc2d" "3.5.0"
"174" "mclust" "3.4.4"
"175" "memoise" "3.4.4"
"176" "MEMSS" "3.4.4"
"177" "mime" "3.6.2"
"178" "miniUI" "3.4.4"
"179" "minqa" "3.5.2"
"180" "miscTools" "3.4.4"
"181" "mlmRev" "3.4.4"
"182" "mnormt" "3.5.2"
"183" "modelr" "3.6.2"
"184" "modeltools" "3.4.1"
"185" "muhaz" "3.4.4"
"186" "multcomp" "3.4.4"
"187" "multicool" "3.4.4"
"188" "munsell" "3.6.2"
"189" "mvtnorm" "3.5.0"
"190" "network" "3.5.1"
"191" "networkDynamic" "3.5.1"
"192" "nleqslv" "3.4.4"
"193" "nloptr" "3.5.2"
"194" "NLP" "3.5.1"
"195" "numDeriv" "3.4.1"
"196" "nycflights13" "3.6.2"
"197" "openssl" "3.6.2"
"198" "openxlsx" "3.5.3"
"199" "optextras" "3.4.1"
"200" "optimx" "3.4.4"
"201" "orcutt" "3.4.4"
"202" "packrat" "3.4.4"
"203" "partitions" "3.4.4"
"204" "pbkrtest" "3.4.4"
"205" "pcaPP" "3.4.4"
"206" "permute" "3.4.4"
"207" "pillar" "3.6.2"
"208" "pkgbuild" "3.5.3"
"209" "pkgconfig" "3.6.2"
"210" "pkgload" "3.5.3"
"211" "PKI" "3.4.1"
"212" "PKPDmodels" "3.4.4"
"213" "plm" "3.4.4"
"214" "plogr" "3.6.2"
"215" "plyr" "3.6.2"
"216" "png" "3.5.2"
"217" "poLCA" "3.4.4"
"218" "polyclip" "3.4.1"
"219" "polyCub" "3.4.4"
"220" "polynom" "3.4.1"
"221" "praise" "3.4.4"
"222" "prettyunits" "3.6.2"
"223" "processx" "3.6.2"
"224" "prodlim" "3.5.3"
"225" "progress" "3.6.2"
"226" "promises" "3.5.3"
"227" "proto" "3.4.4"
"228" "ps" "3.6.2"
"229" "psych" "3.5.2"
"230" "purrr" "3.6.2"
"231" "quadprog" "3.4.1"
"232" "quantreg" "3.4.4"
"233" "R6" "3.6.2"
"234" "randomForest" "3.4.4"
"235" "Rcgmin" "3.4.1"
"236" "rcmdcheck" "3.5.3"
"237" "RColorBrewer" "3.6.0"
"238" "Rcpp" "3.6.2"
"239" "RcppArmadillo" "3.4.4"
"240" "RcppEigen" "3.4.4"
"241" "RcppParallel" "3.4.4"
"242" "RcppRoll" "3.5.3"
"243" "RCurl" "3.5.3"
"244" "readr" "3.6.2"
"245" "readxl" "3.6.2"
"246" "recipes" "3.5.3"
"247" "reliaR" "3.4.1"
"248" "rem" "3.4.4"
"249" "rematch" "3.6.2"
"250" "remotes" "3.5.3"
"251" "reprex" "3.6.2"
"252" "repurrrsive" "3.5.3"
"253" "reshape" "3.5.3"
"254" "reshape2" "3.6.2"
"255" "rex" "3.4.4"
"256" "rgdal" "3.5.3"
"257" "rgeos" "3.4.4"
"258" "RgoogleMaps" "3.5.3"
"259" "rio" "3.4.4"
"260" "rJava" "3.5.3"
"261" "rjson" "3.5.2"
"262" "RJSONIO" "3.4.1"
"263" "rlang" "3.6.2"
"264" "rmarkdown" "3.6.2"
"265" "robust" "3.4.4"
"266" "robustbase" "3.5.1"
"267" "ROCR" "3.4.4"
"268" "roxygen2" "3.5.3"
"269" "rprojroot" "3.4.4"
"270" "rrcov" "3.4.4"
"271" "rsconnect" "3.4.4"
"272" "RSiena" "3.4.4"
"273" "RSQLite" "3.4.4"
"274" "rstan" "3.4.4"
"275" "rstanarm" "3.4.4"
"276" "rstantools" "3.4.4"
"277" "rstudioapi" "3.6.2"
"278" "RUnit" "3.4.4"
"279" "rvest" "3.6.2"
"280" "Rvmmin" "3.4.4"
"281" "sandwich" "3.4.4"
"282" "scales" "3.6.2"
"283" "scanstatistics" "3.4.4"
"284" "scatterplot3d" "3.4.4"
"285" "selectr" "3.6.2"
"286" "sessioninfo" "3.5.3"
"287" "setRNG" "3.4.1"
"288" "sets" "3.4.4"
"289" "sf" "3.5.3"
"290" "shiny" "3.4.4"
"291" "shinyjs" "3.4.4"
"292" "shinystan" "3.4.4"
"293" "shinythemes" "3.4.4"
"294" "slackr" "3.4.4"
"295" "slam" "3.5.0"
"296" "sna" "3.5.3"
"297" "snakecase" "3.5.1"
"298" "SnowballC" "3.5.2"
"299" "sourcetools" "3.4.4"
"300" "sp" "3.5.3"
"301" "SparseM" "3.4.1"
"302" "spatstat" "3.4.4"
"303" "spatstat.data" "3.4.4"
"304" "spatstat.utils" "3.4.4"
"305" "speedglm" "3.4.4"
"306" "splancs" "3.4.4"
"307" "sqldf" "3.4.4"
"308" "SQUAREM" "3.5.2"
"309" "StanHeaders" "3.4.4"
"310" "statnet" "3.4.4"
"311" "statnet.common" "3.5.1"
"312" "stringi" "3.5.0"
"313" "stringr" "3.6.2"
"314" "surveillance" "3.4.4"
"315" "svUnit" "3.4.4"
"316" "sys" "3.6.2"
"317" "tensor" "3.4.1"
"318" "tergm" "3.5.1"
"319" "testthat" "3.5.3"
"320" "texreg" "3.4.4"
"321" "TH.data" "3.4.4"
"322" "threejs" "3.4.4"
"323" "tibble" "3.6.2"
"324" "tidyr" "3.6.2"
"325" "tidyselect" "3.6.2"
"326" "tidyverse" "3.6.2"
"327" "timeDate" "3.5.2"
"328" "tinytex" "3.6.2"
"329" "tm" "3.5.3"
"330" "tnam" "3.4.4"
"331" "translations" "3.6.1"
"332" "trust" "3.4.1"
"333" "ucminf" "3.4.1"
"334" "udpipe" "3.5.3"
"335" "units" "3.5.3"
"336" "usethis" "3.6.2"
"337" "utf8" "3.6.2"
"338" "vctrs" "3.6.2"
"339" "vegan" "3.4.4"
"340" "viridis" "3.4.4"
"341" "viridisLite" "3.6.2"
"342" "webshot" "3.5.3"
"343" "whisker" "3.6.2"
"344" "withr" "3.6.2"
"345" "wordcloud" "3.5.3"
"346" "wordcloud2" "3.5.1"
"347" "xergm" "3.4.4"
"348" "xergm.common" "3.4.4"
"349" "xfun" "3.6.2"
"350" "XLConnect" "3.4.4"
"351" "XLConnectJars" "3.4.4"
"352" "xlsx" "3.5.3"
"353" "xlsxjars" "3.5.3"
"354" "XML" "3.5.3"
"355" "xml2" "3.6.2"
"356" "xopen" "3.5.3"
"357" "xtable" "3.4.4"
"358" "xts" "3.4.4"
"359" "yaml" "3.6.0"
"360" "zeallot" "3.6.2"
"361" "zip" "3.5.3"
"362" "zoo" "3.4.4"
